client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651900.mp3	خاکم بدہن، میں اس بر بادی کے آثار دیکھ رہا ہوں۔	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651911.mp3	لوگوں کو بات کر نے دیں اگر اس میں وزن نہیں ہو گا۔	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651912.mp3	کسان اور حکومت کے درمیان واحد چیز کارڈ ہوگی	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651913.mp3	جبوتی	2	1	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651915.mp3	لوگوں کو خوش کرتا ہوں	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651921.mp3	لسی کی بوتلیں دی ۔	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651922.mp3	امریکی صدربننے کےبعد میرے والد کوکاروبار میں کروڑوں ڈالر کا نقصان ہوا ٹرمپ جونیئر	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651925.mp3	ہمت تو دور کی بات ہے۔	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651934.mp3	یوں لگتا تھا کہ جیسے کوئی بیش قیمت خزانہ ہاتھ لگا گیا	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651942.mp3	یہاں عجیب مخمصہ ہے۔	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651943.mp3	یہ نہیں کہا جائے گا فلاں آدمی مشرک ہے	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651944.mp3	بنگلہ دیش	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651945.mp3	پی ائی اے کی نجکاری قوانین کے مطابق کی جائے گی دانیال عزیز	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651951.mp3	اب حالات اور ہیں۔	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651952.mp3	ہنگری میں ایئر ریس کا انعقادپائلٹس کے سٹنٹس نے سب کو چونکا دیا	2	0	twenties	male		ur	
6cf52fee343629ae9a854bce2bc137221c710d167119554ff1f30afecaace31274cbd3293f2f383647c55e51ce7711b9e8842b8283189ddec40394d1414d5dcd	common_voice_ur_26651954.mp3	تین بار وزیر اعظم رہے۔	2	0	twenties	male		ur	
